Docteur Tweety - TWEXLIST - www.twexlist.com

Sample: The last 50 active members of the list "followers" for Twitter account @feedingtubepaul

Followers;Percentage;Following;Percentage;Location;%;Verified;%;Protected;%;Creation;%;
Less than 500;24%;Less than 50;0%;;16%;Yes;0%;Yes;0%;2017;20%;
Between 500 and 1 000;14%;Between 50 and 100;0%;Virginia, USA;4%;No;100%;No;100%;2016;14%;
Between 1 000 and 5 000;26%;Between 100 and 500;6%;Pennsylvania, USA;4%;Language;%;Active;%;2015;8%;
Between 5 000 and 10 000;8%;Between 500 and 1 000;12%;Southern California;4%;en;96%;Today;52%;2014;4%;
Between 10 000 and 20 000;10%;Between 1 000 and 5 000;50%;Los Angeles, CA;2%;id;2%;Less than 2 days;90%;2013;16%;
Between 20 000 and 50 000;10%;Between 5 000 and 10 000;10%;New Orleans, LA;2%;fr;2%;Less than 1 week;96%;2012;6%;
Between 50 000 and 100 000;0%;Between 10 000 and 50 000;12%;Gaea;2%;;;Less than 1 month;96%;2011;12%;
More than 100 000 ;8%;More than 50 000;10%;Syracuse, NY;2%;;;Less than 3 months;96%;2010;6%;

Twitter account;Name;Creation;Time Zone;Location;Language;Followers;Following;Statuses;Verified;Protected;Translator;Last tweet;Description;URL;Email;
@Twexlist;TwExList;2013-05-23 10:24:37;Athens;-;fr;8557;5984;21871;;;;2017-11-27 02:19:01;Twexlist is a tool to export Twitter lists, followers, friends, favorites, DMs, Search results or tweets to an Excel, CSV, Calc or Web file.;http://www.twexlist.com;;
@Dan_Gill22;D.Gill;2017-01-31 03:59:52;;Florida;en;3358;3486;4942;;;;2017-11-26 22:20:43;#Resist-  We must protect those that need it most.  #FBR  Fake Trump Christians=Blocked ----Blocked by Jerry Falwell Jr- His god of $$ does not talk to My GOD.;;;
@archistruct;X;2011-02-21 17:17:49;;-;en;224;614;4353;;;;2017-11-26 23:22:18;#BlockedByChiefCovefe;;;
@sneakerslass;Sneakerslass;2011-02-06 21:07:57;Pacific Time (US & Canada);-;en;3348;3683;24934;;;;2017-11-26 23:43:34;#RESIST Don t give grifters your💰 Louise, Claude & TeamPatriot RT get blocked⛔️ & parodied by me💋 #BlockedByChiefCovfefe #CovfefeFollowBackParty#FBR;;;
@bigrain;BruceGuynn & BigRain;2009-01-08 23:20:32;Pacific Time (US & Canada);California;en;117160;116784;10561;;;;2017-11-27 00:00:39;The Heroes of Crossover Rock, Rock On!  Grab a free download from my website: http://t.co/4L4LMkfbuh;http://www.bruceguynn.com;;
@Sloopyy;Dianne ❄️⭕️HI⭕️❄�;2011-11-27 16:57:40;;Cypress, Texas;en;1965;1784;20433;;;;2017-11-27 02:02:04;Ohio State University grad & Buckeye fan, somewhere in Texas. Wife, Grandma, Retired Teacher. I tweet Buckeyes & Resistance. Francophile. NO LISTS!;;;
@hellogrojo;grojo, inc.;2016-03-09 19:37:56;;-;en;1997;2525;757;;;;2017-07-21 14:25:54;;http://www.hellogrojo.com;;
@andreacurry;IfYouSaySo;2009-03-20 04:56:22;Pacific Time (US & Canada);-;en;1407;4353;16116;;;;2017-11-27 01:42:10;artist, advocate, mommyshe/her #TheResistance #CA01 #TehamaCounty *Ignoring Domestic Violence puts our communities at risk*;http://getthewordoutaca2018.weebly.com/;;
@mikesully97;Mike Sullivan;2013-05-10 22:25:56;;Boston, MA;en;277;525;956;;;;2017-11-26 17:14:43;;;;
@LibertyGeek83;TheGeekyLibertarian;2013-03-16 08:55:10;Pacific Time (US & Canada);Ripon, California;en;1971;3952;13280;;;;2017-11-27 01:24:57;Love my country. Don t care for my government, regardless who s in charge. https://t.co/aotcp2D3Av;;;
@MetroQuest;MetroQuest Software;2011-11-10 22:26:21;Pacific Time (US & Canada);US & Canada;en;16787;14769;9554;;;;2017-11-27 00:58:33;Proud to be #LocalGov s top-rated online #CommunityEngagement software. 💓 tweets on great #CivicTech #Planning #Transportation #Urbanism #DemoPart.;http://www.MetroQuest.com;;
@LadyCatResists;Lady Catelyn Stark;2017-10-02 19:23:14;;Virginia, USA;en;2462;4999;1031;;;;2017-11-26 21:46:42;Single momma of 2 boys My youngest has Autism #Resistance #Resist #WeResist👊🇺🇸 #NOTmypresident #followbackresistance #FBR #RWU #metoo #proudfeminist💁🏻;;;
@mdaslam29416845;Hifjul;2015-07-27 08:07:07;Pacific Time (US & Canada);Uttara,Dhaka;en;140;1869;68;;;;2017-11-25 08:09:09;Professional graphic designer works at fiverr;;;
